"Code";"Text"
"B-FA-*-*-G-*";"Hallo [Name], wir freuen uns auf dich."
"B-FA-*-*-G-*";"Hallo [Name], Herzlich willkommen hier im Forum."
"B-FA-*-*-G-*";"Halli hallo [Name], willkommen im Forum."
"B-FA-*-*-Mod-*";"Wenn es dir lieber ist, können wir hier die Beratung auch in die Privatberatung schieben. Du kannst auch generell in der Privatberatung schreiben. Dann können nur wir beide das lesen."
"B-FA-*-*-Mod-*";"ich wollte nur kurz schreiben dass ich wieder hier bin und weiter im Hintergrund mitlese."
"B-FA-*-*-Mod-*";"Auf Forum [Name] hast du auch noch die Möglichkeit, dich mit anderen Jugendlichen zum Verlust eines geliebten Menschen auszutauschen."
"B-FA-*-*-Mod-*";"Ich möchte dir an dieser Stelle gerne sagen, dass es uns bei uns wichtig ist, dass ihr Jugendlichen selbst entscheidet, wann und wie oft ihr euch hier mit Beiträgen melden möchtet und könnt."
"B-FA-*-*-Mod-*";"Ich würde dein Thema noch bis zum Ende der nächsten Woche geöffnet lassen. Ohne weitere Rückmeldung deinerseits, würde ich dann davon ausgehen, dass es in Ordnung für dich ist, wenn ich dein Thema hier schließe. Solltest du dir wünschen, dass dein Thema hier weiterhin offen bleibt, dann kannst mir hierzu gerne eine kurze Nachricht hinterlassen."
"B-FA-*-*-Mod-*";"Uns ist es wichtig, dass ihr wisst, dass wir auch am Wochenende im Forum für euch da seid, wenn es Themen gibt, die nicht bis zum Montag warten können."
"B-FA-*-*-Mod-*";"Wenn Ihr ein neues Thema eröffnet und dort einen Link zu einer anderen Seite ins Forum einstellt, dann schreibt doch bitte auch warum Ihr das gemacht habt"
"B-FA-*-*-Mod-*";"Unsere Beratungen sind kostenlos, anonym und wir haben Schweigepflicht, das heißt niemand erfährt, dass du hier warst."
"B-FA-*-*-Mod-*";"Wie willst Du gerne weitermachen?"
"B-FA-*-*-Mod-*";"Meine Kollegin [Name] hat dieses im Rahmen ihres Wochenenddienstes übernommen, ab heute stehe ich euch hier als feste Ansprechpartnerin gerne zur Verfügung."
"B-FA-*-*-Mod-*";"wie an anderer Stelle mit dir geschrieben, werde ich dein Forenthema gleich schließen"
"B-FA-*-*-Mod-*";"Ich freue mich, dass Sie unsere Seite gefunden haben und dass Sie sich hier Unterstützung für Ihre Situation suchen."
"B-FA-*-*-Mod-*";"Als feste Beraterin in diesem Thema kann ich einfach nur mitlesen und mich bei Fragen oder Unklarheiten zu Wort melden, genauso gut kann ich mich aber auch aktiv in den Austausch miteinbringen, wenn du das möchtest."
"B-FA-*-*-Mod-*";"Neben dem Forum hast du noch die Möglichkeit, eine Einzelberatung in Anspruch zu nehmen und am Chat teilzunehmen."
"B-FA-*-*-Mod-*";"Meine Kollegin hat dir letzte Woche bereits angekündigt, dass sich eine feste Beraterin bei dir melden wird und ich freue mich darüber, dein Thema ab jetzt als feste Ansprechpartnerin zu begleiten."
"B-FA-*-*-Mod-*";"meine Kollegin [Name] hat dir ja im Rahmen unseres Wochenenddienstes geantwortet. Nun übernehme ich dein Thema gerne, wenn du einverstanden bist."
"B-FA-*-*-Mod-*";"Vielleicht hast du ja auch schon gesehen, dass wir hier neben dem Forum auch noch einmal in der Woche einen Chat und eine Einzelberatung anbieten."
"B-FA-*-*-Mod-*";"Da uns sehr wichtig ist, dass unsere Userinnen und User anonym bleiben möchte ich dir gern anbieten, dass wir auch in einer Einzelberatung überlegen können wie du vielleicht andere Betroffene kennenlernen könntest, wenn du das gerne möchtest? Auf unserer Homepage, findest du etwas weiter unten auf der linken Seite, zudem die Option ""Links"". Vielleicht sind dort auch Informationen für dich dabei, die hilfreich sein könnten."
"B-FA-*-*-Mod-*";"in deinem Thema wurde nun schon länger nicht mehr geschrieben und seit deiner letzten Nachricht hier ist nun auch einige Zeit vergangen. Ich würde dein Thema daher zu Beginn der kommenden Woche schließen"
"B-FA-*-*-Mod-*";"Bevor wir starten, möchte ich dir noch kurz die verschiedenen Funktionen vom Forum [Name] erklären. Wir sind hier im Forum, in dem du dich mit anderen Usern austauschen kannst wenn du möchtest. Jedes Thema wird dabei von einer BeraterIn begleitet. Wenn du in Echtzeit mit anderen Usern schreiben möchtest, gibt es jede Woche einen Gruppenchat. Den aktuellen Termin findest du auf der Startseite und bist herzlich dazu eingeladen. Als dritte Möglichkeit gibt es noch die Einzelberatung. Beratungen dort sind für andere User nicht offen, sodass du dort mit deiner BeraterIn unter vier Augen in einem geschützten Rahmen schreiben kannst."
"B-WF-AK-RS-FPD-*";"Darf ich zuerst mal fragen, wie alt ihr seid?"
"B-WF-AK-RS-FPD-*";"Wie alt bist du?"
"B-WF-AK-RS-FPD-*";"Hast du Geschwister?"
"B-WF-AK-RS-FBL-*";"Hast du schon mal mit einer Gleichaltrigen darüber gesprochen?"
"B-WF-AK-RS-FBL-*";"Was haben Sie bisher unternommen, um ihr Problem zu lösen?"
"B-WF-AK-RS-FBL-*";"Welche bisherigen Bewältigungsstrategien haben Sie genutzt?"
"B-WF-AK-RS-FBL-*";"Hast du schon mal versucht, ihr einen Brief oder eine E-Mail zu schreiben?"
"B-WF-AK-RS-FBL-*";"Hast du schon einmal mit deinen Eltern darüber gesprochen, dass es dich sehr stört, dass du keine Privatsphäre hast und dir das Zimmer teilen musst?"
"B-WF-AK-RS-FBL-*";"Hast du schon mal mit deinem Therapeuten darüber geredet?"
"B-WF-AK-RS-FBL-*";"Hast du schon mal versucht mit deinen Eltern über das alles zu reden was dich belastet?"
"B-WF-AK-RS-FBL-*";"Hast du schon Mal mit deiner Schulleitung über das Thema gesprochen?"
"B-WF-AK-RS-FBL-*";"Hast du schon mal private Kontakte probiert?"
"B-WF-AK-RS-FBL-*";"Oder hast du während des Aufenthaltes neue Dinge gemacht, die dir vielleicht Spaß gemacht haben?"
"B-WF-AK-RS-FBL-*";"Hat der Vater sich schon an das Jugendamt gewendet und um Hilfe gebeten?"
"B-WF-AK-RS-ERx-*";"Du leidest unter Depressionen und befürchtest du könntest zudem ernsthaft krank sein."
"B-WF-AK-RS-ERx-*";"Freut mich zu hören dass die letzten Ladenbesuche gut geklappt haben!"
"B-WF-AK-RS-ERx-*";"Er scheint ja die Angst, die er bekommen müsste wenn er sich zu weit von Ihnen entfernt, nicht so zu spüren."
"B-WF-AK-RS-ERx-*";"Wenn ich richtig verstanden habe, wollen die Erzieherinnen Ihre Tochter eher nicht in die Vorschulgruppe geben."
"B-WF-AK-RS-ERx-*";"Sie erhoffen sich jetzt eine Antwort auf die Frage nach der Einschulung, und nicht erst in einem halben Jahr."
"B-WF-AK-RS-ERx-*";"Du warst offen und hast dich und deine Kraft gezeigt."
"B-WF-AK-RS-ERx-*";"Ihre Tochter ist erst drei Jahre alt und seit einem halben Jahr weint sie, wenn sie zu Mama nach dem Papa-Wochenende muss."
"B-WF-AK-RS-ERx-*";"die Frage was Corona mit uns macht beantwortest Du ärgerlich und siehst die Vorsichtsmaßnahmen als Gefängnis."
"B-WF-AK-RS-ERx-*";"Wenn ich deinen Beitrag lese habe ich den Eindruck, dass die Pandemie eine sehr große Herausforderung für dich darstellt und die einen oder anderen Probleme verursacht hat."
"B-WF-AK-RS-ERx-*";"Immerhin hat sich eine sehr innige Beziehung zwischen Ihnen und Ihrer Partnerin entwickelt. Das ist meine Eindruck, wenn ich Ihre Beschreibung nachgehe."
"B-WF-AK-RS-ERx-*";"ich kann mir gut vorstellen, daß Sie verunsichert und etwas ratlos waren, nachdem Ihr Sohn Sie in dieser intimen Situation auf der Toilette entdeckt hat."
"B-WF-AK-RS-ERx-*";"Wie du beschreibst, hast du in den letzten Jahren viel erlebt."
"B-WF-AK-RS-ERx-*";"so, wie Sie Ihre derzeitige Situation beschreiben, sind Sie im Moment sehr auf sich alleine gestellt! Hinzu kommt, dass Ihr kleines Kind sehr häufig erkrankt, was Sie in Ihrer Handlungsfähigkeit noch mehr einschränkt."
"B-WF-AK-RS-ERx-*";"Ich habe Ihren Beitrag so verstanden, dass Ihnen Ihre kleine Tochter zurzeit so richtig „auf der Nase herumtanzt“."
"B-WF-AK-RS-ERx-*";"Sie schreiben, bisher habe der Vater Ihre Tochter bei Ihnen zu Hause besucht. Nun meldet sich seine Mutter zu Wort mit dem Vorschlag, die Kleine solle das Wochenende bei ihnen verbringen, damit der Vater sich intensiver um sie kümmern kann."
"B-WF-AK-RS-ERx-*";"In Ihrem Beitrag wird deutlich, daß Ihre Familiensituation sehr komplex ist und es einer guten Organisation bedarf, daß alles einigermaßen klappt"
"B-WF-AK-RS-ERx-*";"Sie haben gerade Familienzuwachs bekommen und sind dabei, sich als Familie neu zu organisieren."
"B-WF-AK-RS-ERx-*";"Du weißt, also nicht genau, was Verliebtsein so richtig bedeutet."
"B-WF-AK-RS-ERx-*";"Du schreibst, dass du dich immer nach dem Wichsen schlecht fühlst."
"B-WF-AK-RS-ERx-*";"Zuerst einmal möchte ich dein Problem mal zusammenfassen: Du bist 14 und hast dich in einen Jungen, der in deiner Nähe wohnt verliebt. Du kennst ihn über das Internet und ihr tauscht euch über verschiedene Themen aus. Du hast jetzt nur Angst, dass er evtl. etwas dagegen haben könnte, dass du auf ihn stehst und dann vielleicht nichts mehr mit dir zutun haben will. Stimmt das so weit?"
"B-WF-AK-RS-ERx-*";"Du schreibst das du sie magst sie weil sie anders über die dinge denkt als alle anderen Mädchen die du kennst und das sie viel offener ist."
"B-WF-AK-RS-ERx-*";"ich kann gut verstehen, dass es dir schwer fällt mit jemandem darüber zu reden."
"B-WF-AK-RS-ERx-*";"Du nutzt das Ritzen dann um Stress und Druck abzulassen und dich selber zu fühlen ?"
"B-WF-AK-RS-ERx-*";"Du schreibst in deiner Nachricht vom Verlust deiner Oma, die ein sehr wichtiger Mensch für dich war und der dich deshalb nach einem dreiviertel Jahr noch sehr beschäftigt."
"B-WF-AK-RS-ERx-*";"Du beschreibst in deiner Nachricht, dass du Angst hast deine geliebte Uhroma zu verlieren, da diese schon sehr alt ist und sie nun auf die Intensivstation verlegt wurde."
"B-WF-AK-RS-ERx-*";"Du schreibst darin, dass du in eine Klinik gehen wirst."
"B-WF-AK-RS-ERx-*";"So lese ich, dass Sonnenstrahl und Sina das Schreiben, z.B. im Tagebuch, hilft oder Vanessa und Sina das Schaffen persönlicher Bereiche für die Trauer, wie z.B. Bilderecken. Das zweite scheint bei dir, Sina, gerade schwierig umzusetzen zu sein. Richtig so?"
"B-WF-AK-RS-ERx-*";"In deiner Nachricht gehst du darauf ein, wie du den Tod deiner Eltern erlebt hast und wir erfahren von dir, in welchen Bereichen dich dein Verlust gerade besonders zu beschäftigen scheint. Wenn ich dich richtig verstehe , betrifft das gerade zum Beispiel Momente, in denen du besonders damit konfrontiert wirst, dass andere ihre Eltern noch haben und von ihnen, auch an wichtigen Tagen wie dem Abiball oder einer Hochzeit, unterstützt und begleitet werden. Auch in deiner Beziehung scheint dein Verlust eine Rolle zu spielen, denn zum einen würdest du dir wünschen, das dein Vater deinen Freund noch kennen gelernt hätte, zum anderen scheinst du aber auch große Angst zu haben, erneut jemanden zu verlieren, der dich wirklich kennt, und dazu gehört neben Familie und Freunden auch dein Freund. Stimmt das alles so?"
"B-WF-AK-RS-ERx-*";"Du schreibst, dass dein Papa dich kurz vor seinem Tod noch einmal anrufen wollte, und dass du den Anruf nicht gehört hast, weil dein Handy nachts auf stumm geschalten war. Seit mehreren Tagen kannst du nicht mehr richtig schlafen, hast Schuldgefühle weil du nicht bei ihm warst und fragst dich, ob du seinen Tod hättest verhindern können. Hab"
"B-WF-AK-RS-ERx-*";"Du schreibst, dass dein Vater vor 2 Monaten an einem Herzinfarkt verstorben ist, kurz bevor du nach Hause gekommen bist, und du miterlebt hast, wie die Sanitäter versucht haben, ihn zu reanimieren. Ich kann mir vorstellen, dass es sehr beängstigend und erschreckend gewesen sein muss, das mit anzusehen."
"B-WF-AK-RS-ERx-*";"In der Zeit und bis zur Beerdigung deiner Mutter, schreibst du, waren deine Schulkameraden eine große Stütze für dich. Seit dem Tod deiner Mutter, so beschreibst du, hat sich für dich vieles verändert und du nimmst wahr, dass auch du dich in deinem Verhalten verändert hast."
"B-WF-AK-RS-ERx-*";"Du teilst uns mit, dass du gerade auf Abifahrt bist und sich eine Antwort von dir deswegen etwas verzögern wird."
"B-WF-AK-RS-ERx-*";"Du teilst uns mit, wie du die erste Zeit nach seinem Tod erlebst und welche Gedanken du dabei hast."
"B-WF-AK-RS-ERx-*";"Du machst dir Gedanken, warum er dir so lange nicht geantwortet hat."
"B-WF-AK-RS-ERx-*";"Es scheint mir, dass es für dich gerade eine besonders schwere Zeit ist, in der du dich emotional als sehr instabil erlebst und das Gefühl hast momentan keine Kraft mehr zu haben. Wenn ich dich in deinem letzten Beitrag richtig verstanden habe, dann gibt es jedoch Dinge über die du hier zwar nicht schreiben möchtest, die dir aber zumindest kurzzeitig Kraft geben können."
"B-WF-AK-RS-ERx-*";"Du schreibst, dass die Zitate deine größten Wünsche und deine Sehnsucht zum Ausdruck bringen."
"B-WF-AK-RS-ERx-*";"Du schreibst, dass du mit deiner schulischen Leistung nicht zufrieden warst und du das Gefühl hast, dass von dir noch mehr kommen muss."
"B-WF-AK-RS-ERx-*";"du lässt uns wissen, dass du zwar drei Tage keinen Zusammenbruch hattest, aber leider dann wieder ein heftiger Zusammenbruch kam und du so sehr das Gefühl hast, deinen Papa zu brauchen."
"B-WF-AK-RS-ERx-*";"Aus deinen Zeilen können wir erfahren, dass du dir Zeit nehmen musstest, um professionelle Unterstützung zu erhalten. Du berichtest davon, dass du aktuell das Gefühl erlebst, dass der Tod deiner Eltern für die Menschen eures Umfelds in Vergessenheit geraten zu sein scheint. Für dich, so verstehe ich es, ist der Eindruck spürbar, dass deine Eltern und ihr Tod nicht mehr Thema sein dürfen. Richtig so?"
"B-WF-AK-RS-ERx-*";"Du schreibst, dass du jetzt seit ein paar Wochen wieder in der Schule bist und dich das ein wenig von deiner Trauer ablenkt, du aber das Gefühl hast, dass deine Freunde nicht mehr so viel mit dir machen möchten."
"B-WF-AK-RS-ERx-*";"Du beschreibst, dass du bemerkt hast, dass es Unterschiede gab, wie oft sich Menschen in deinem Umfeld bei dir gemeldet haben. Deine engen Freunde haben sich in den letzten Wochen und Monaten öfters nach dir erkundigt, während Personen aus deinem weiteren Bekanntenkreis sich nicht bei dir gemeldet haben. So wie deine Worte bei mir ankommen, bist du ein bisschen enttäuscht, dass diese Personen nicht nachgefragt haben, da die momentane Situation für dich und deine Familie durch den Verlust deines Vaters besonders schwierig ist"
"B-WF-AK-RS-ERx-*";"So wie ich es aus deinen Zeilen lese, scheint dein Vertrauenslehrer im Moment für dich einen ruhigen Ort geschaffen zu haben und dir gemeinsam mit seiner Frau ein wenig Halt geben zu können."
"B-WF-AK-RS-ERx-*";"Du hast uns bisher wissen lassen, dass du im Moment krank geschrieben bist und ich könnte mir vorstellen, dass dies auch ein Grund sein könnte, warum es in diesem Thema, in welchem es insbesondere auch um deine schulische Situation geht, ruhiger geworden ist."
"B-WF-AK-RS-ERx-*";"In deinen letzten Antworten an mich, hast du erklärt, dass dieses Thema hier ein Ort sein soll, an dem man negative Gefühle abladen kann und an dem man durch Songtexte ausdrücken kann, was man gerade empfindet und wofür man vielleicht auch selbst gerade keine Worte hat."
"B-WF-AK-RS-ERx-*";"sie hat ein Brüderchen bekommen, was ja eine aufregende Sache ist, noch dazu wo der vielleicht momentan immer mobiler wird. Und sie ist in die Kita gekommen und hat auch diesen Übergang bewältigt, und schafft es sogar, dort trocken und sauber zu bleiben."
"B-WF-AK-RS-ERx-*";"Du sagst, dass ihr wegen der kleinen Wohnung in einem Zimmer schlafen müsst das macht die Lösung dafür nicht so leicht."
"B-WF-AK-RS-ERx-*";"Du schreibst, dass du gut mit dem Jungen befreundet bist und er dir total gut gefällt, auch vom Äußeren her."
"B-WF-AK-RS-ERx-*";"wenn ich deinen beitrag richtig verstehe, hat du ein paar mal mit em typen geknutscht, aber auch stress gehabt."
"B-WF-AK-RS-ERx-*";"Du sagst, das du regelmäßig Sex hast und dieser dich auch befriedigt."
"B-WF-AK-RS-ERx-*";"Schön zu hören, dass es bei Ihnen nach dieser schwierigen Zeit auch wieder aufwärts ging!"
"B-WF-AK-RS-FLL-SB";"Wie ist Ihr Kontakt zum Vater Ihres Kindes?"
"B-WF-AK-RS-FLL-SB";"Du schreibst, dass Du eine Freundin hast. Wie ist deine Beziehung zu ihr?"
"B-WF-AK-RS-FLL-SB";"Könnten Sie mir mehr über Ihre familiäre Situation erzählen?"
"B-WF-AK-RS-FLL-SB";"Welche Unterstützung haben Sie aktuell in ihrem sozialen Umfeld?"
"B-WF-AK-RS-FLL-BS";"Können Sie mir mehr über ihre aktuelle berufliche Situation erzählen?"
"B-WF-AK-RS-FLL-BS";"In welcher Branche arbeiten Sie denn?"
"B-WF-AK-RS-FLL-BS";"Möchten Sie über Ihre bisherigen beruflichen Erfahrungen sprechen?"
"B-WF-AK-RS-FLL-BS";"Wie geht es ihnen in ihrem Job?"
"B-WF-AK-RS-FLL-BS";"Was für eine Arbeit hast du denn?"
"B-WF-AK-RS-FLL-EW";"Wie ist deine wirtschaftliche Situation momentan?"
"B-WF-AK-RS-FLL-EW";"Gehst du aktuell einer Arbeit nach?"
"B-WF-AK-RS-FLL-EW";"Kommen Sie aktuell mit dem Geld, was sie monatlich zur Verfügung haben zurecht?"
"B-WF-AK-RS-FLL-EW";"Wie kommst du mit deiner Erwerbsminderungsrente zurecht?"
"B-WF-AK-RS-FLL-G";"Wie steht es um ihre Rheuma-Erkankung?"
"B-WF-AK-RS-FLL-F";"Was hast du für Hobbies, machst du viel mit Freunden oder bist du viel alleine unterwegs?"
"B-WF-AK-RS-FLL-F";"Gibt es z.B. ein Hobby, das du nach der Zeit in der Klinik wieder aufgenommen hast?"
"B-WF-AK-RS-FLL-F";"Um Ihnen besser zu raten, wäre es hilfreich zu wissen, welche Art von Hobbys oder Interessen Sie haben"
"B-WF-AK-RS-FA-*";"Um dir Tipps geben zu können, wäre es für mich hilfreich, wenn du konkreter formulieren könntest wofür du Tipps möchtest. Geht es um den Umgang mit der Angst? Oder möchtest du Tipps für das Leben in der Einrichtung oder für die Schule?"
"B-WF-AK-RS-FA-*";"Vielleicht erzählst du mir mal etwas mehr über dich und über das Mädchen um die ganze Situation genauer zu verstehen."
"B-WF-AK-RS-FA-*";"Ich würde dir wirklich sehr gerne helfen, nur wäre es schön, wenn du mir die Situation näher erklärst."
"B-WF-AK-RS-FA-*";"Vielleicht magst du mir noch etwas mehr dazu schreiben."
"B-WF-AK-RS-FA-*";"Damit ich deinem Wunsch Informationen zu Psychologen und Selbsthilfegruppen zu erhalten, so nachkommen kann, wie du es dir vorstellst, wäre es hilfreich für mich zu wissen, ob du dir vielleicht schon überlegt hast, zu welchen Punkten du genauer etwas wissen möchtest?"
"B-WF-AK-RS-FA-*";"Kannst du etwas näher beschreiben, was du genau daran peinlich findest?"
"B-WF-AK-RS-FA-*";"Vielleicht magst Du mir ein bisschen mehr zu Deinem Opa erzählen: wie ist er gestorben und wie hast Du das damals erlebt?"
"B-WF-AK-RS-FA-*";"Magst du uns zum besseren Verständnis etwas mehr darüber erzählen, wie wir uns dies vorstellen dürfen, liebe leoniemkn?"
"B-WF-AK-RS-FPP-*";"Vielleicht magst du auch berichten wie es dir jetzt gerade geht?"
"B-WF-AK-RS-FPP-*";"Wo geht es denn hin auf Klassenfahrt?"
"B-WF-AK-RS-FPP-*";"Was sagt denn der Kinderarzt?"
"B-WF-AK-RS-FPP-*";"Hat er denn in anderen Situationen auch zu wenig Angst?"
"B-WF-AK-RS-FPP-*";"Kannst du das Gefühl, was du danach hast vielleicht noch etwas näher beschreiben? Ist es eher ekel oder kommt es dir irgendwie falsch vor, was du getan hast?"
"B-WF-AK-RS-FPP-*";"Wie alt ist der Junge, den du so magst denn?"
"B-WF-AK-RS-FPP-*";"Hast du dich denn so schon mal mit ihr Unterhalten vielleicht in der Pause oder vor der Schulstunde?"
"B-WF-AK-RS-FPP-*";"Darf ich Dich fragen, wen Du genau verloren hast?"
"B-WF-AK-RS-FPP-*";"Hast du denn die Telefonnummer von seinen Eltern?"
"B-WF-AK-RS-FPP-*";"Wie weit würdet ihr denn dann auseinander wohnen?"
"B-WF-AK-RS-FVE-*";"Wie ist es dir inzwischen ergangen?"
"B-WF-AK-RS-FVE-*";"Hast du danach noch weiter darüber nachgedacht?"
"B-WF-AK-RS-FVE-*";"Wie ging es für dich weiter?"
"B-WF-AK-RS-FVE-*";"Hat sich nach dem Gespräch mit deinem Partner etwas verändert?"
"B-WF-AK-RE-FKR-*";"Wenn ich es richtig verstanden habe, beschäftigen dich im Moment eigentlich zwei Probleme. Das Problem, das du schon länger hast und weshalb du auch in Therapie bist, ist das Ritzen. Das andere Problem ist die Beziehung zu deinem Freund, die im Moment zu zerbrechen droht."
"B-WF-AK-RE-FKR-*";"Angenommen, du würdest morgen einfach deine Sachen packen, was erhoffst du dir, zuhause machen zu können, was in deinem Auslandspraktikum nicht geht?"
"B-WF-AK-RE-FKR-*";"Hast du vielleicht eine Idee, wie du sie sonst auf ihre Gefühle dir gegenüber ansprechen könntest, ohne direkt deine eigenen Gefühle offenlegen zu müssen?"
"B-WF-AK-RE-FKR-*";"Was findest du an dir selbst positiv und was eher negativ?"
"B-WF-AK-RE-FKR-*";"Du fragst dich also, ob du verliebt bist – was meinst du denn selber?"
"B-WF-AK-RE-FKR-*";"Was erhoffen Sie sich von der Präsenz des Vaters im Leben seiner Tochter und wie könnte es sich auf ihre psychische Gesundheit und ihre Situation in der Schule auswirken?"
"B-WF-AK-RE-FKR-*";"Und wenn Sie ihm weniger Freiheit geben, ihm also in Sitationen mit vielen fremden Menschen gar nicht erlauben, von der Hand zu gehen, wie ist es dann?"
"B-WF-AK-RE-FKR-*";"Wie kommt es zu dieser Idee und wie sehen Sie das als Mutter?"
"B-WF-AK-RE-FEL-*";"was macht dir dabei Kopfzerbrechen?"
"B-WF-AK-RE-FEL-*";"Welche Gefühle verbindest Du mit dem Eindruck, dass sich Deine Persönlichkeit verändert?"
"B-WF-AK-RE-FEL-*";"Kannst Du ein bisschen näher beschreiben, was es bedeutet, wenn alles wieder ""hoch kommt"" welche Gefühle hast Du dann?"
"B-WF-AK-RE-FEL-*";"Sie sehen diese Äußerung als Bedrohung an. Wie kommt das?"
"B-WF-AK-RE-FEL-*";"Kannst du genauer beschreiben wie sich dieses Gefühl das dir- alles zu viel- ist äussert?"
"B-WF-AK-RE-FEL-*";"Was sagt denn dein Bauchgefühl dazu."
"B-WF-ABZ-*-FZW-*";"Die Frage ist, was erhoffst du denn was ich jetzt tun kann?"
"B-WF-ABZ-*-FZW-*";"Ich würde gerne wissen, wie ich dich dabei noch besser unterstützen kann?"
"B-WF-ABZ-*-FZW-*";"Was erhoffst du dir von der Beratung"
"B-WF-ABZ-*-FZW-*";"Wie kann ich dir noch besser helfen?"
"B-WF-ABZ-*-FZW-*";"Wie stellst du dir vor, dass wir dir bei den aktuellen Herausforderungen in der Erziehung deiner Kinder behilflich sein können?"
"B-WF-ABZ-*-FZW-*";"welche konkreten Veränderungen oder Verbesserungen erhoffst du dir durch die Beratung?"
"B-WF-ABZ-*-FZW-*";"Gibt es spezielle Themen, die du ansprechen möchtest?"
"B-WF-ABZ-*-IDZ-*";"Ich kann dir nur anbieten mit dir zusammen zu überlegen, was wir tun können, dass es dir mit dem Gefühl besser geht und wie du damit vielleicht etwas besser umgehen kannst."
"B-WF-ABZ-*-IDZ-*";"Ich biete dir gerne an, gemeinsam zu überlegen, was für dich hier hilfreich sein könnte, wenn du das möchtest."
"B-WF-ABZ-*-IDZ-*";"Wir können gerne in der Beratung zusammen nach Lösungswegen schauen."
"B-WF-ABZ-*-IDZ-*";"Innerhalb der Beratung können wir uns erstmal einen Überblick über deine finanzelle Situation machen."
